科室,出院人次,门（急）诊人次,医疗服务收入占比,门诊次均费用,门诊次均药品费用,住院次均费用,住院患者均次药品费用,CMI值,平均住院日,床位使用率,出院患者手术占比,出院患者四级手术占比,出院患者微创手术占比,DDDs,DDDs达标,(48小时)再入院例数,再次手术例数,住院超30天病例数,死亡例数（住院）,非医嘱离院例数（住院）,出院病历3个工作日归档率,检验危急值处理率,疑难病例讨论数,普通会诊未及时完成数,医疗不良事件上报数,督查扣分,临床路径入径率
ICU,14,,35.71%,,,164884.16,38790.70,6.75,17.50,96.89%,35.71%,40.00%,20.00%,25.73,达标,1,2,3,3,1,35.71%,97.37%,9,0,0,,-
中医科,112,943,46.26%,419.33,210.29,11952.60,1963.45,1.05,7.16,73.15%,3.60%,25.00%,0.00%,19.27,达标,0,0,1,0,0,62.50%,100.00%,0,31,0,1,0.00%
临床心理科,,1300,47.62%,316.09,100.07,,,,,,,,,,,0,0,0,0,0,,,0,30,0,,
乳甲外科,468,3987,31.77%,400.93,117.98,10759.60,1662.78,1.20,3.66,108.27%,43.59%,50.49%,0.49%,2.51,达标,1,2,0,0,0,81.41%,100.00%,3,13,4,0,17.31%
产科,530,3567,33.25%,411.11,73.73,7544.49,1142.21,0.54,3.41,100.98%,63.39%,0.47%,0.00%,71.91,未达标,1,0,1,0,0,45.66%,100.00%,1,2,4,0,8.87%
健康管理医学中心,,318,98.63%,2086.95,28.26,,,,,,,,,,,0,0,0,0,0,,,0,0,0,,
儿科,364,7912,51.41%,338.61,85.53,9058.60,2111.75,1.02,6.44,91.76%,2.75%,10.00%,50.00%,47.44,未达标,4,1,8,1,2,82.21%,100.00%,1,0,0,0,6.59%
全科医学科,49,1546,25.03%,316.95,164.36,12550.23,2754.49,0.92,34.17,78.04%,6.12%,0.00%,33.33%,67.35,未达标,0,0,2,1,0,57.14%,100.00%,5,2,1,0,0.00%
内分泌科,263,5576,15.00%,440.91,191.84,8737.11,1683.11,0.80,7.88,107.19%,3.04%,0.00%,0.00%,31.23,达标,0,0,0,0,7,65.53%,94.44%,9,282,2,1,53.23%
口腔科,43,4393,63.60%,400.03,8.35,27863.35,2912.54,2.39,11.71,65.87%,93.02%,2.50%,0.00%,22.59,达标,0,0,1,0,0,62.79%,,3,29,1,,4.65%
